"X","PATHWAY.SORTORDER","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","Group.HMDB","Standardized name"
22,1148,"15-methylpalmitate","Lipid","Fatty Acid, Branched",38768,"LC/MS Neg",100002945,5695,269.24868,"","17903417","","","15-Methylpalmitic acid"
23,1151,"17-methylstearate","Lipid","Fatty Acid, Branched",38296,"LC/MS Neg",100002356,5993,297.2799,"2724-59-6","3083779","","","Xi-17-Methyloctadecanoic acid"
24,1629,"1-arachidonoyl-GPC (20:4n6)*","Lipid","Lysolipid",33228,"LC/MS Pos Late",100001551,1460,544.33977,"","","C05208","HMDB10395","LPC 20:4/0:0"
25,1655,"1-arachidonoyl-GPE (20:4n6)*","Lipid","Lysolipid",35186,"LC/MS Pos Late",100001571,1450,502.29282,"","42607465","","HMDB11517","LPE 20:4(5Z,8Z,11Z,14Z)/0:0"
26,1676,"1-arachidonoyl-GPI (20:4)*","Lipid","Lysolipid",34214,"LC/MS Neg",100001654,5482,619.28888,"","","","HMDB61690","LPI 20:4(5Z,8Z,11Z,14Z)/0:0"
27,1753,"1-arachidonylglycerol (20:4)","Lipid","Monoacylglycerol",34397,"LC/MS Neg",100001433,6450,303.23293,"35474-99-8","5282281","C13857","HMDB11572","MG 20:4"
28,1758,"1-docosahexaenoylglycerol (22:6)","Lipid","Monoacylglycerol",35153,"LC/MS Neg",100001481,6150,309.22236,"","","","HMDB11587","MG 22:6"
29,1639,"1-lignoceroyl-GPC (24:0)","Lipid","Lysolipid",49617,"LC/MS Pos Late",100002873,1907,608.46497,"325171-59-3","","","","LPC 24:0/0:0"
30,1750,"1-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol",27447,"LC/MS Neg",100001040,6477,279.23293,"2277-28-3","5283469","","","MG 18:2"
31,1617,"1-linoleoyl-GPC (18:2)","Lipid","Lysolipid",34419,"LC/MS Pos Late",100001395,1465,520.33977,"","11988421","C04100","HMDB10386","LPC 18:2(9Z,12Z)/0:0"
32,1651,"1-linoleoyl-GPE (18:2)*","Lipid","Lysolipid",32635,"LC/MS Neg",100001570,5900,476.27826,"","52925130","","HMDB11507","LPE 18:2/0:0"
33,1672,"1-linoleoyl-GPI (18:2)*","Lipid","Lysolipid",36594,"LC/MS Neg",100001778,5494,595.28888,"","","","","LPI 18:2/0:0"
34,1745,"1-margaroylglycerol (17:0)","Lipid","Monoacylglycerol",34391,"LC/MS Neg",100001429,6571,269.24858,"68002-72-2","107036","","","MG 17:0"
35,58,"1-methylhistidine","Amino Acid","Histidine Metabolism",30460,"LC/MS Pos Early",100001051,2755,170.09241,"332-80-9","92105","C01152","HMDB00001","1-Methylhistidine"
36,74,"1-methylimidazoleacetate","Amino Acid","Histidine Metabolism",32350,"LC/MS Pos Early",100001208,2064,141.06586,"2625-49-2","75810","C05828","HMDB02820","Methylimidazoleacetic acid"
37,2758,"1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",27665,"LC/MS Pos Early",55,1940,137.07094,"1005-24-9","10129985","C02918","HMDB00699","1-Methyl nicotinamide"
38,1739,"1-myristoylglycerol (14:0)","Lipid","Monoacylglycerol",35625,"LC/MS Neg",100001618,6353.3,227.20163,"75685-84-6","79050","C01885","HMDB11561","MG 14:0/0:0/0:0"
39,1772,"1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)","Lipid","Diacylglycerol",46798,"LC/MS Pos Late",100002989,3115,636.55616,"106292-55-1","","","",NA
40,1497,"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*","Lipid","Phospholipid Metabolism",52453,"LC/MS Pos Late",100008981,2165,784.58509,"","","","","PC 18:1/18:2"
41,1549,"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*","Lipid","Phospholipid Metabolism",52687,"LC/MS Pos Late",100009078,2270,742.53813,"","9546753","","HMDB05349","PE 18:1/18:2"
42,1773,"1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)","Lipid","Diacylglycerol",46799,"LC/MS Pos Late",100002990,3223,636.55616,"104346-53-4","","","",NA
43,1748,"1-oleoylglycerol (18:1)","Lipid","Monoacylglycerol",21184,"LC/MS Neg",100000924,6500,281.24858,"111-03-5","5283468","","HMDB11567","MG 18:1(9Z)/0:0/0:0"
44,1614,"1-oleoyl-GPC (18:1)","Lipid","Lysolipid",48258,"LC/MS Pos Late",100001272,1540,522.35542,"19420-56-5","16081932","","HMDB02815","LPC 18:1(9Z)/0:0"
45,1647,"1-oleoyl-GPE (18:1)","Lipid","Lysolipid",35628,"LC/MS Neg",100001569,6125.1,478.29391,"89576-29-4","9547071","","HMDB11506","LPE 18:1/0:0"
46,1694,"1-oleoyl-GPG (18:1)*","Lipid","Lysolipid",45968,"LC/MS Neg",100005716,5610,509.28849,"","","","","LPG 18:1/0:0"
47,1670,"1-oleoyl-GPI (18:1)*","Lipid","Lysolipid",36602,"LC/MS Neg",100001777,5599,597.30453,"","","","","LPI 18:1/0:0"
48,1679,"1-oleoyl-GPS (18:1)","Lipid","Lysolipid",19260,"LC/MS Neg",100000630,5607,522.28374,"","9547099","","","LPS 18:1/0:0"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 16:1(9Z)/18:1(9Z)/0:0*"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 16:1_18:1"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 34:2"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 16:1_18:1"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 34:2"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 16:1(9Z)/18:1(9Z)/0:0*"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 34:2"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 16:1/18:1/0:0"
49,1771,"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52632,"LC/MS Pos Late",100009053,3035,610.54051,"","9543694","","HMDB07131","DG 16:1_18:1"
50,1492,"1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*","Lipid","Phospholipid Metabolism",52458,"LC/MS Pos Late",100008983,2155,758.56944,"","","","","PC 16:1/18:1"
51,1774,"1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*","Lipid","Diacylglycerol",52631,"LC/MS Pos Late",100009054,3154,610.54051,"","","","",NA
52,1762,"1-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol",52431,"LC/MS Neg",100008952,6094,253.21727,"","","","","MG 16:1"
53,1608,"1-palmitoleoyl-GPC (16:1)*","Lipid","Lysolipid",33230,"LC/MS Pos Late",100001511,1450,494.32412,"","24779461","","HMDB10383","LPC 16:1(9Z)/0:0"
54,1488,"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)","Lipid","Phospholipid Metabolism",52462,"LC/MS Pos Late",100008914,2091,782.56944,"35418-58-7","10747814","","","PC 16:0/20:4"
