"CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","X","HMDB","PUBCHEM","CHEMSPIDER","KEGG","CAS","PRIMARY_ID","X.1","X.2","X.3","X.4","X.5","Standardized name"
234,400,443,155304,"Amino Acid","Alanine and Aspartate Metabolism",36,"NAMED","CKLJMWTZIZZHCS-UHFFFAOYSA-N","NC(C(O)=O)CC(O)=O","aspartate","aspartate",NA,"hmdb:HMDB0000191","pubchem:5960","chemspider:5745","kegg:C00049","CAS:56-84-8","hmdb:HMDB0000191",NA,NA,NA,NA,"","Aspartic acid"
235,305,1432,145724,"Amino Acid","Phenylalanine Metabolism",156,"NAMED","CCVYRRGZDBSHFU-UHFFFAOYSA-N","OC(CC1=C(O)C=CC=C1)=O","2-hydroxyphenylacetate","2-hydroxyphenylacetate",NA,"hmdb:HMDB0000669","pubchem:11970","chemspider:11476","kegg:C05852","CAS:614-75-5","hmdb:HMDB0000669",NA,NA,NA,NA,"","2-Hydroxyphenylacetic acid"
240,209,32197,123321,"Amino Acid","Tyrosine Metabolism",181,"NAMED","JVGVDSSUAVXRDY-UHFFFAOYSA-N","OC(C(O)=O)CC1=CC=C(O)C=C1","3-(4-hydroxyphenyl)lactate","3-(4-hydroxyphenyl)lactate (HPLA)",NA,"hmdb:HMDB0000755","pubchem:9378","chemspider:9010","kegg:C03672","CAS:6482-98-0","hmdb:HMDB0000755",NA,NA,NA,NA,"","4-Hydroxyphenyllactic acid"
241,209,566,124529,"Amino Acid","Phenylalanine Metabolism",150,"NAMED","BTNMPGBKDVTSJY-UHFFFAOYSA-N","O=C(C(O)=O)CC1=CC=CC=C1","phenylpyruvate","phenylpyruvate",NA,"hmdb:HMDB0000205","pubchem:997","chemspider:972","kegg:C00166","CAS:156-06-9","hmdb:HMDB0000205",NA,NA,NA,NA,"","Phenylpyruvic acid"
244,400,55,155295,"Nucleotide","Pyrimidine Metabolism, Uracil containing",4240,"NAMED","UCMIRNVEIXFBKS-UHFFFAOYSA-N","NCCC(O)=O","beta-alanine","beta-alanine",NA,"hmdb:HMDB0000056","pubchem:239","chemspider:234","kegg:C00099","CAS:107-95-9,56-41-7","hmdb:HMDB0000056",NA,NA,NA,NA,"","beta-Alanine"
249,400,1768,155446,"Amino Acid","Histidine Metabolism",84,"NAMED","CQOVPNPJLQNMDC-ZETCQYMHSA-N","OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O","carnosine","carnosine",NA,"hmdb:HMDB0000033","pubchem:439224","chemspider:388363","kegg:C00386","CAS:305-84-0","hmdb:HMDB0000033",NA,NA,NA,NA,"","Carnosine"
250,402,2137,158009,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",4412,"NAMED","QBUVFDKTZJNUPP-YBRAVLHJSA-N","CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O","biliverdin","biliverdin",NA,"hmdb:HMDB0001008","pubchem:5280353","chemspider:10628548","kegg:C00500","CAS:55482-27-4,55482-27-4","hmdb:HMDB0001008",NA,NA,NA,NA,"","Biliverdin"
251,400,568,155324,"Cofactors and Vitamins","Biotin Metabolism",4385,"NAMED","YBJHBAHKTGYVGT-UHFFFAOYSA-N","OC(CCCCC(SC1)C(N2)C1NC2=O)=O","biotin","biotin",NA,"hmdb:HMDB0000030","pubchem:171548","chemspider:149962","kegg:C00120","CAS:58-85-5","hmdb:HMDB0000030",NA,NA,NA,NA,"","Biotin"
252,305,1437,147106,"Energy","TCA Cycle",1449,"NAMED","KDYFGRWQOYBRFD-UHFFFAOYSA-N","OC(CCC(O)=O)=O","succinate","succinate",NA,"hmdb:HMDB0000254","pubchem:1110","chemspider:1078","kegg:C00042","CAS:110-15-6","hmdb:HMDB0000254",NA,NA,NA,NA,"","Succinic acid"
254,305,542,145710,"Lipid","Ketone Bodies",1939,"NAMED","WHBMMWSBFZVSSR-UHFFFAOYSA-N","CC(O)CC(O)=O","3-hydroxybutyrate (BHBA)","3-hydroxybutyrate (BHBA)",NA,"hmdb:HMDB0000442,HMDB0000357,HMDB0000011","pubchem:94318,441,92135","chemspider:428","kegg:C03197,C01089","CAS:625-72-9","hmdb:HMDB0000442",NA,NA,NA,NA,"","3-Hydroxybutyric acid"
264,402,1099,161403,"Lipid","Sterol",3196,"NAMED","UCTLRSWJYQTBFZ-UHFFFAOYSA-N","CC12C(C3=CC=C4CC(O)CCC4(C)C3CC2)CCC1C(C)CCCC(C)C","7-dehydrocholesterol","7-dehydrocholesterol",NA,"hmdb:HMDB0000032","pubchem:439423","chemspider:388534","kegg:C01164","CAS:434-16-2","hmdb:HMDB0000032",NA,NA,NA,NA,"","7-Dehydrocholesterol"
266,402,63,164177,"Lipid","Sterol",3193,"NAMED","HVYWMOMLDIMFJA-LBHVWCRMSA-N","CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1","cholesterol","cholesterol",NA,"hmdb:HMDB0000067","pubchem:5997,6432564,11025495","chemspider:4937803","kegg:C00187","CAS:57-88-5","hmdb:HMDB0000067",NA,NA,NA,NA,"","Cholesterol"
267,400,34396,156099,"Lipid","Phospholipid Metabolism",2234,"NAMED","YHHSONZFOIEMCP-UHFFFAOYSA-N","C[N+](C)(CCOP(O)([O-])=O)C","choline phosphate","phosphocholine",NA,"hmdb:HMDB0001565","pubchem:1014","chemspider:119298","kegg:C00588","CAS:72556-74-2","hmdb:HMDB0001565",NA,NA,NA,NA,"","Choline phosphate"
272,209,5983,126005,"Lipid","Corticosteroids",3298,"NAMED","OMFXVFTZEKFJBZ-UHFFFAOYSA-N","CC(C(CC1)=CC2=O)(CC2)C3C1C(CCC4C(CO)=O)C4(C)CC3O","corticosterone","corticosterone",NA,"hmdb:HMDB0001547","pubchem:5753","chemspider:5550","kegg:C02140","CAS:50-22-6","hmdb:HMDB0001547",NA,NA,NA,NA,"","Corticosterone"
273,209,1769,124819,"Lipid","Corticosteroids",3316,"NAMED","MFYSYFVPBJMHGN-ZPOLXVRWSA-N","O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O","cortisone","cortisone",NA,"hmdb:HMDB0002802","pubchem:222786","chemspider:361685","kegg:C00762","CAS:53-06-5","hmdb:HMDB0002802",NA,NA,NA,NA,"","Cortisone"
275,400,513,155307,"Amino Acid","Creatine Metabolism",529,"NAMED","DDRJAANPRJIHGJ-UHFFFAOYSA-N","CN(C(N1)=N)CC1=O","creatinine","creatinine",NA,"hmdb:HMDB0000562","pubchem:588","chemspider:568","kegg:C00791","CAS:60-27-5","hmdb:HMDB0000562",NA,NA,NA,NA,"","Creatinine"
278,400,35637,156206,"Amino Acid","Glutathione Metabolism",576,"NAMED","ZUKPVRWZDMRIEO-UHFFFAOYSA-N","NC(C(NCC(O)=O)=O)CS","cysteinylglycine","cysteinylglycine",NA,"hmdb:HMDB0000078","pubchem:439498","chemspider:58762","kegg:C01419","CAS:19246-18-5","hmdb:HMDB0000078",NA,NA,NA,NA,"","Cys-Gly"
279,400,56,155296,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",462,"NAMED","LEVWYRKDKASIDU-UHFFFAOYSA-N","NC(C(O)=O)CSSCC(N)C(O)=O","cystine","cystine",NA,"hmdb:HMDB0000192","pubchem:67678","chemspider:575","kegg:C00491","CAS:56-89-3","hmdb:HMDB0000192",NA,NA,NA,NA,"","Cystine"
297,402,17747,158164,"Lipid","Sphingosines",3160,"NAMED","WWUZIQQURGPMPG-CCEZHUSRSA-N","CCCCCCCCCCCCC/C=C/C(C(CO)N)O","sphingosine","sphingosine",NA,"hmdb:HMDB0000252","pubchem:5280335","chemspider:4510275","kegg:C00319","CAS:123-78-4","hmdb:HMDB0000252",NA,NA,NA,NA,"","Sphingosine"
302,402,1114,161304,"Lipid","Secondary Bile Acid Metabolism",3480,"NAMED","KXGVEGMKQFWNSR-OHAQSFBXSA-N","CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O","deoxycholate","deoxycholate",NA,"hmdb:HMDB0000626","pubchem:222528,440355","chemspider:389318","kegg:C04483","CAS:83-44-3","hmdb:HMDB0000626",NA,NA,NA,NA,"","Deoxycholic acid"
310,400,15705,155581,"Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",453,"NAMED","ILRYLPWNYFXEMH-UHFFFAOYSA-N","OC(C(CCSCC(N)C(O)=O)N)=O","cystathionine","cystathionine",NA,"hmdb:HMDB0000099","pubchem:439258","chemspider:811","kegg:C02291","CAS:535-34-2","hmdb:HMDB0000099",NA,NA,NA,NA,"","Cystathionine"
313,402,17769,158166,"Lipid","Sphingolipid Synthesis",3001,"NAMED","OTKJDMGTUTTYMP-UHFFFAOYSA-N","CCCCCCCCCCCCCCCC(C(CO)N)O","sphinganine","sphinganine",NA,"hmdb:HMDB0000269","pubchem:3126","chemspider:3014","kegg:C00836","CAS:3102-56-5","hmdb:HMDB0000269",NA,NA,NA,NA,"","Sphinganine"
330,305,1643,146876,"Energy","TCA Cycle",1450,"NAMED","VZCYOOQTPOCHFL-OWOJBTEDSA-N","OC(/C=C/C(O)=O)=O","fumarate","fumarate",NA,"hmdb:HMDB0000134","pubchem:444972","chemspider:10197150","kegg:C00122","CAS:100-17-8","hmdb:HMDB0000134",NA,NA,NA,NA,"","Fumaric acid"
331,400,36738,156248,"Peptide","Gamma-glutamyl Amino Acid",634,"NAMED","OWQDWQKWSLFFFR-UHFFFAOYSA-N","O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O","gamma-glutamylglutamate","gamma-glutamylglutamate",NA,"hmdb:HMDB0011737","pubchem:92865","chemspider:83831","kegg:C05282","CAS:1116-22-9","hmdb:HMDB0011737",NA,NA,NA,NA,"","gamma-Glu-Glu"
338,305,587,147098,"Xenobiotics","Food Component/Plant",4806,"NAMED","RGHNJXZEOKUKBD-SQOUGZDYSA-N","OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O","gluconate","gluconate",NA,"hmdb:HMDB0000625","pubchem:10690,3085666","chemspider:10240","kegg:C00257","CAS:527-07-1","hmdb:HMDB0000625",NA,NA,NA,NA,"","Gluconic acid"
339,305,396,146390,"Lipid","Fatty Acid, Dicarboxylate",1660,"NAMED","JFCQEDHGNNZCLN-UHFFFAOYSA-N","OC(CCCC(O)=O)=O","glutarate (C5-DC)","glutarate (C5-DC)",NA,"hmdb:HMDB0000661","pubchem:743,4418048","chemspider:3618533","kegg:C00489","CAS:110-94-1","hmdb:HMDB0000661",NA,NA,NA,NA,"","Glutaric acid"
340,400,58,160611,"Amino Acid","Glycine, Serine and Threonine Metabolism",1,"NAMED","DHMQDGOQFOQNFH-UHFFFAOYSA-N","NCC(O)=O","glycine","glycine",NA,"hmdb:HMDB0000123","pubchem:750","chemspider:730","kegg:C00037","CAS:56-40-6","hmdb:HMDB0000123",NA,NA,NA,NA,"","Glycine"
