"Compound","BIOCHEMICAL","HMDB_ID","Metabolite","X","X.1","X.2","COMP_ID","Standardized name"
"QI9730","C50:3 TAG","HMDB05433*","C50:3 TAG",NA,NA,NA,NA,"TG 50:3"
"QI7300","C50:4 TAG","HMDB05435*","C50:4 TAG",NA,NA,NA,NA,"TG 50:4"
"QI7188","C50:5 TAG","HMDB10471*","C50:5 TAG",NA,NA,NA,NA,"TG 50:5"
"QI7124","C50:6 TAG","HMDB10497*","C50:6 TAG",NA,NA,NA,NA,"TG 50:6"
"QI9326",NA,"HMDB31106*","C51:0 TAG",NA,NA,NA,NA,"TG 51:0"
"QI9455",NA,"HMDB42104*","C51:1 TAG",NA,NA,NA,NA,"TG 51:1"
"QI9650",NA,"HMDB11701*","C51:3 TAG",NA,NA,NA,NA,"TG 51:3"
"QI9244","C52:0 TAG","HMDB05365*","C52:0 TAG",NA,NA,NA,NA,"TG 52:0"
"QI7775","C52:1 TAG","HMDB05367*","C52:1 TAG",NA,NA,NA,NA,"TG 52:1"
"QI9476","C52:2 TAG","HMDB05369*","C52:2 TAG",NA,NA,NA,NA,"TG 52:2"
"QI9576","C52:3 TAG","HMDB05384*","C52:3 TAG",NA,NA,NA,NA,"TG 52:3"
"QI7460","C52:4 TAG","HMDB05363*","C52:4 TAG",NA,NA,NA,NA,"TG 52:4"
"QI9790","C52:5 TAG","HMDB05380*","C52:5 TAG",NA,NA,NA,NA,"TG 52:5"
"QI9906","C52:6 TAG","HMDB05436*","C52:6 TAG",NA,NA,NA,NA,"TG 52:6"
"QI7172","C52:7 TAG","HMDB10517*","C52:7 TAG",NA,NA,NA,NA,"TG 52:7"
"QI9419","C53:2 TAG","HMDB42196*","C53:2 TAG",NA,NA,NA,NA,"TG 53:2"
"QI7625",NA,"HMDB43058*","C53:3 TAG",NA,NA,NA,NA,"TG 53:3"
"QI9205","C54:1 TAG","HMDB05395*","C54:1 TAG",NA,NA,NA,NA,"TG 54:1"
"QI7823","C54:2 TAG","HMDB05403*","C54:2 TAG",NA,NA,NA,NA,"TG 54:2"
"QI7701","C54:3 TAG","HMDB05405*","C54:3 TAG",NA,NA,NA,NA,"TG 54:3"
"QI7603","C54:4 TAG","HMDB05370*","C54:4 TAG",NA,NA,NA,NA,"TG 54:4"
"QI7501","C54:5 TAG","HMDB05385*","C54:5 TAG",NA,NA,NA,NA,"TG 54:5"
"QI7395","C54:6 TAG","HMDB05391*","C54:6 TAG",NA,NA,NA,NA,"TG 54:6"
"TF11","C54:7 TAG","HMDB05447*","C54:7 TAG",NA,NA,NA,NA,"TG 54:7"
"QI7234","C54:8 TAG","HMDB10518*","C54:8 TAG",NA,NA,NA,NA,"TG 54:8"
"QI10095","C54:9 TAG","HMDB10498*","C54:9 TAG",NA,NA,NA,NA,"TG 54:9"
"QI7900","C55:2 TAG","HMDB42226*","C55:2 TAG",NA,NA,NA,NA,"TG 55:2"
"QI9355","C55:3 TAG","HMDB42466*","C55:3 TAG",NA,NA,NA,NA,"TG 55:3"
"QI8079","C56:1 TAG","HMDB05396*","C56:1 TAG",NA,NA,NA,NA,"TG 56:1"
"QI7175","C56:10 TAG","HMDB10513*","C56:10 TAG",NA,NA,NA,NA,"TG 56:10"
"QI7969","C56:2 TAG","HMDB05404*","C56:2 TAG",NA,NA,NA,NA,"TG 56:2"
"QI9280","C56:3 TAG","HMDB05410*","C56:3 TAG",NA,NA,NA,NA,"TG 56:3"
"QI7730","C56:4 TAG","HMDB05398*","C56:4 TAG",NA,NA,NA,NA,"TG 56:4"
"QI9563","C56:6 TAG","HMDB05456*","C56:6 TAG",NA,NA,NA,NA,"TG 56:6"
"QI9641","C56:7 TAG","HMDB05462*","C56:7 TAG",NA,NA,NA,NA,"TG 56:7"
"QI7402","C56:8 TAG","HMDB05392*","C56:8 TAG",NA,NA,NA,NA,"TG 56:8"
"QI9859","C56:9 TAG","HMDB05448*","C56:9 TAG",NA,NA,NA,NA,"TG 56:9"
"QI9816","C58:10 TAG","HMDB05476*","C58:10 TAG",NA,NA,NA,NA,"TG 58:10"
"QI7247","C58:11 TAG","HMDB10531*","C58:11 TAG",NA,NA,NA,NA,"TG 58:11"
"QI7444","C58:9 TAG","HMDB05463*","C58:9 TAG",NA,NA,NA,NA,"TG 58:9"
"QI7316","C60:12 TAG","HMDB05478*","C60:12 TAG",NA,NA,NA,NA,"TG 60:12"
"MQ16","Adenosine 3',5'-cyclic monophosphate (cAMP)","HMDB00058","cAMP",NA,NA,NA,"2831","3',5' cyclic AMP"
"QI12603","Campesterol","HMDB02869","campesterol",NA,NA,NA,"33997","Campesterol"
"MQ17",NA,"HMDB01546","CDP",NA,NA,NA,NA,"CDP"
"MQ86",NA,"HMDB00626*","chenodeoxycholate/deoxycholate",NA,NA,NA,NA,"Chenodeoxycholic acid/Deoxycholic acid"
"MQ81","Cholate","HMDB00619","cholate",NA,NA,NA,"22842","Cholic acid"
"QI12606","Cholesterol (Cholest-5-en-3-ol)","HMDB00067","cholesterol",NA,NA,NA,"63","Cholesterol"
"MQ18","Citrate","HMDB00094","citrate",NA,NA,NA,"1564","Citric acid"
"MQ20",NA,"HMDB00095","CMP",NA,NA,NA,NA,"CMP"
"QI9946",NA,"HMDB01072","coenzyme Q10",NA,NA,NA,NA,"Coenzyme Q10"
"MQ21","Cystathionine","HMDB00099","cystathionine",NA,NA,NA,"15705","Cystathionine"
"TF25","Cystine","HMDB00192","cystine",NA,NA,NA,"56","Cystine"
"MQ22","Cytidine","HMDB00089","cytidine",NA,NA,NA,"514","Cytidine"
"QI8466","Cytosine","HMDB00630","cytosine",NA,NA,NA,"573","Cytosine"
"MQ23",NA,"HMDB01202","dCMP",NA,NA,NA,NA,"dCMP"
"MQ24","Dihydroxyacetone","HMDB01473*","DHAP/glyceraldehyde 3P",NA,NA,NA,NA,"Dihydroxyacetone phosphate"
"TF26",NA,"HMDB0240212","DMGV",NA,NA,NA,NA,"DMGV"
"MQ26",NA,"HMDB01409","dUMP",NA,NA,NA,NA,"dUMP"
"MQ27",NA,"HMDB01321","erythrose-4-phosphate",NA,NA,NA,NA,"Erythrose 4-phosphate"
"MQ29",NA,"HMDB00121","folate",NA,NA,NA,NA,"Folic acid"
"MQ30","Glucose (D-glucose)","HMDB00122*","fructose/glucose/galactose",NA,NA,NA,"48152","Hexose"
"MQ32","Fumarate","HMDB00134*","fumarate/maleate",NA,NA,NA,"1643","Fumaric acid"
"TF27","GABA","HMDB00112","GABA",NA,NA,NA,NA,"gamma-Aminobutyric acid"
"MQ33","GDP","HMDB01201","GDP",NA,NA,NA,NA,"GDP"
"MQ34","Glucuronate","HMDB00127","glucuronate",NA,NA,NA,"15443","Glucuronic acid"
"MQ35","Glutathione oxidized","HMDB03337","glutathione oxidized",NA,NA,NA,NA,"Oxidized glutathione"
"MQ82","Glycocholate","HMDB00138","glycocholate",NA,NA,NA,"18476","Glycocholic acid"
